,"GEO_city,state",year,MWE,MWE_Occupation Type_code,MWE_Occupation Type,MWE_Skill Level,MWE_How Paid,cityid,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019
127,"Chicago, IL",2019,38.58,130000,Business and financial operations occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
128,"Chicago, IL",2019,44.24,150000,Computer and mathematical occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
129,"Chicago, IL",2019,41.58,170000,Architecture and engineering occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
130,"Chicago, IL",2019,36.51,190000,"Life, physical, and social science occupations",All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
131,"Chicago, IL",2019,25.49,210000,Community and social service occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
132,"Chicago, IL",2019,86.08,230000,Legal occupations,Not able to be leveled,All workers,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
133,"Chicago, IL",2019,14.48,250000,Educational instruction and library occupations,Level 04,All workers,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
134,"Chicago, IL",2019,29.97,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
135,"Chicago, IL",2019,41.78,290000,Healthcare practitioners and technical occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
136,"Chicago, IL",2019,16.39,310000,Healthcare support occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
137,"Chicago, IL",2019,29.72,330000,Protective service occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
138,"Chicago, IL",2019,15.15,350000,Food preparation and serving related occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
139,"Chicago, IL",2019,16.50,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
140,"Chicago, IL",2019,16.88,390000,Personal care and service occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
141,"Chicago, IL",2019,29.11,410000,Sales and related occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
142,"Chicago, IL",2019,22.17,430000,Office and administrative support occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
143,"Chicago, IL",2019,35.13,470000,Construction and extraction occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
144,"Chicago, IL",2019,25.95,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
145,"Chicago, IL",2019,19.94,510000,Production occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
146,"Chicago, IL",2019,13.76,530000,Transportation and material moving occupations,Level 01,All workers,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
147,"Cleveland, OH",2019,57.53,110000,Management occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
148,"Cleveland, OH",2019,36.68,130000,Business and financial operations occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
149,"Cleveland, OH",2019,38.63,150000,Computer and mathematical occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
150,"Cleveland, OH",2019,38.68,170000,Architecture and engineering occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
151,"Cleveland, OH",2019,32.32,190000,"Life, physical, and social science occupations",All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
152,"Cleveland, OH",2019,23.49,210000,Community and social service occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
153,"Cleveland, OH",2019,21.44,230000,Legal occupations,Level 06,All workers,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
154,"Cleveland, OH",2019,13.53,250000,Educational instruction and library occupations,Level 03,All workers,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
155,"Cleveland, OH",2019,26.60,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
156,"Cleveland, OH",2019,17.11,290000,Healthcare practitioners and technical occupations,Level 04,All workers,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
157,"Cleveland, OH",2019,14.66,310000,Healthcare support occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
158,"Cleveland, OH",2019,24.40,330000,Protective service occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
